Adam's Way, アダムの道
Salt Steppes, ソルト・ステップ
Leopard, レオパルド
Iron Quarter, 鉄街区
House of Ancestors, 祖先の館
Taimen, テイメン
Ogedei's Bridge, オゴタイの橋
Tortoise, トータス
Abora Gate, アボラの門
Khan's Gate, カーンの門
Copper Quarter, 銅街区
Wolf, ウルフ
Eagle, イーグル
Nephrite Quarter, 軟玉街区
Khan's Shadow, カーンの影
Khan's Heart, カーンの心臓
Khan's Glory, カーンの栄光
Porcelain Quarter, 磁器街区
Wanderer's Haven, 流浪者の港
Sea of Autumn, 秋の海
Lipiäinen Point, リピエーイネン岬
Tiggelaar Bay, ティゲラー湾
Mangrove College, マングローブ・カレッジ
Autumn Islands, オータム・アイランズ
Swallowing Isles, スワロイング・アイルズ
Melting Isles, メルティング・アイルズ
Sea of Lilies, 百合の海
Nuppmiddt Harbour, ヌプミッド・ハーバー
Peterson's Rift, ピーターソンの裂け目
Wisdom, ウィズダム
Sea of Statues, 彫像の海
Kingeater's Castle, 王喰らいの城
Pennington, ペニントン
Ptacek's Fury, プタチェクの憤激
Vinno's Rift, ヴィーノの裂け目
Banning Bluff, 戒める絶壁
Upton, アプトン
Sea of Voices, 声の海
Polythreme, ポリズリーム
Godfall, ゴッドフォール
Tides of Appetite, 渇望の潮
Antonine Abyss, アントニウスの深淵
Obey, オーベイ
Endure, エンデュア
Forlorn, フォーローン
Commingle, カミングル
Aeschaven, アイスチャヴン
Feathered Sea, 羽毛の海
Shepherd's Wash, シェファーズ・ウォッシュ
Flitterstone Isle, フリッターストーン・アイル
Thornwell Croft, ソーンウェル農場
Westergren's Fire, ウェスターグレンの火
Wolf's Rift, 狼の裂け目
Fieldhaven, フィールドヘイヴン
Depot (A), 補給処(A)
Sisterhood, 修道女会
Station III, 第三基地
Abbey Rock, 大修道岩
Shepherd Isles, シェファード・アイルズ
Bugsby's Marshes, バグスビーの沼地
Fallen London, フォールン・ロンドン
Wolfstack Docks, ウルフスタック・ドックス
Dept. of Menace Eradication, 害獣根絶省
Murray Straits, マーレー海峡
Mutton Island, マトン・アイランド
Quaker's Haven, クエーカーズ・ヘイヴン
Badstevener's Abyss, バドスティヴナーの深淵
Hunter's Keep, ハンターズ・キープ
Prickfinger Wastes, プリックフィンガー・ウェイスト
Rowena's Rocks, ロウェナの岩礁
Echo Bazaar, エコー・バザール
Low Barnet, ロウ・バーネット
Varchas, ヴァーチャス
Port Erdonmez, ポート・アーダンムズ
Jack - a - Dandy Stack, ジャック・ア・ダンディ・スタック
Stamford's Expanse, スタンフォード・エクスパンス
Isle of Cats, アイル・オブ・キャッツ
Reef of Roses, 薔薇の岩礁
Visage, ヴィザージュ
Flourishing ?- ?of ?- ?Years, 悠久の栄え
Kapalka Cove, カパルカ小湾
Port Cavendish, ポート・キャベンディッシュ
Peter's Rocks, ピーターの岩礁
Aferox Channel, アフェロックス海峡
Salt Lions, ソルト・ライオン
Zeel Port, ズィール・ポート
Wilbert's Abyss, ウィルバートの深淵
StormBones, ストームボーンズ
Ragged Crow, ラグド・クロウ
Elifaus Abyss, エリファウスの深淵
Chong Yi Rift, チョン・イーの裂け目
Calumnies, キャルムニーズ
Cob's Way Bay, コブズウェイ湾
Aestival, エスティヴァル
Nathan's Bluff, ナッサン急崖
Lesley's Harbour, レズリー・ハーバー
Ewan's Way, イワンの道
Azaquoric Abyss, アザクオリックの深淵
Snares, スネア
Labyrinth of Eels, ウナギの迷宮
Dubois Maelstrom, デュボアの大渦
Pigmote Isle, ピグモート・アイル
Lick-a-Monkey Crag, 猿舐めの大岩
Crabcake, クラブケーキ
Saints-Haven, セインツ・ヘイヴン
Tomb[- ]Colon(y|ies), 墓人街
Venderbight, ヴェンダーバイト
Davies Bay, デイヴィス湾
Carissa's Point, カリッサ岬
Horneman's Stag, ホーネマンズ・スタグ
Tanah-Chook, ターナ・チョーク
Pickett's Bluff, ピケット急崖
Cant's Abyss, カントの深淵
Harper's Ferry, ハープ弾きの渡船場
Void's Approach, ヴォイド・アプローチ
Avid Horizon, アビッド・ホライズン
Chapel of Lights, チャペル・オブ・ライト
Kisigar Vortex, キシガーの渦
